HUB,dest.id,dest.name,dest.country,stop.name,stop.country,cfg.y,cfg.j,cfg.f,tkt.y,tkt.j,tkt.f,hours_per_trip,profit_per_day
MCI,3696,Jakarta Soekarno,Indonesia,Whitehorse,Canada,424,8,0,7114,14210,21303,12.0,5545892.869599134
MCI,3692,Bandung-Java Island,Indonesia,Sapporo,Japan,243,50,32,7127,14235,21340,12.0,5538566.68419992
MCI,3758,Broome,Australia,Weno Island,Micronesia,131,114,27,7112,14205,21295,12.0,5538073.921420485
MCI,3695,Cilacap-Java Island,Indonesia,Yamagata,Japan,136,132,13,7124,14229,21332,12.0,5534661.400961547
MCI,836,Antananarivo,Madagascar,Vila do Porto,Portugal,139,150,0,7109,14199,21287,12.0,5523078.905087504
DLE,2312,Funafuti,Tuvalu,Srednekolymsk,Russia,141,145,3,7089,14160,21229,12.0,5520691.60667888
MCI,3694,Jakarta Halim P.,Indonesia,Emmonak,United States,172,103,20,7115,14212,21306,12.0,5514703.840544216
DIA,2315,Alofi,Niue,Manus Island,Papua New Guinea,163,39,66,7094,14171,21246,12.0,5510687.218862505
DIA,2665,Banana,Kiribati,Chitose / Tomakomai,Japan,143,86,41,7080,14142,21202,12.0,5485968.164515266
JNB,2663,Majuro Atoll,Marshall Islands,Newman,Australia,222,109,0,7034,14052,21070,12.0,5478819.108981856
MCI,3772,Ceduna,Australia,Gaua Island,Vanuatu,252,90,2,7059,14101,21143,12.0,5472122.8101299675
DIA,2319,Fitiuta Village,American Samoa,Cauayan City,Philippines,221,82,18,7036,14057,21077,12.0,5466890.64036632
MCI,3707,Palembang-Sumatra Island,Indonesia,Khabarovsk,Russia,98,126,30,7012,14009,21007,12.0,5459204.82069062
MCI,3780,Derby,Australia,Weno Island,Micronesia,229,52,35,7043,14070,21097,12.0,5458707.349000003
MCI,3736,Ayers Rock,Australia,Yaren District,Nauru,105,115,35,7002,13990,20979,12.0,5451535.340239426
DIA,2320,Pago Pago,American Samoa,Haikou,China,111,164,0,6982,13950,20921,12.0,5422829.280783898
JNB,1259,Denver Int,United States,Praia,Cape Verde,167,136,0,6972,13930,20891,12.0,5415577.541286712
JNB,2313,Tarawa,Kiribati,Boulia,Australia,274,83,0,6944,13875,20809,12.0,5408153.661884304
MCI,3881,Whyalla,Australia,Funafuti,Tuvalu,219,77,22,6935,13857,20784,12.0,5386979.797338996
DIA,2310,Lifuka,Tonga,Buon Ma Thuot,Vietnam,294,73,0,6909,13807,20709,12.0,5380688.739724194
DIA,2311,Vava'u Island,Tonga,Phetchabun,Thailand,128,135,14,6909,13806,20709,12.0,5378600.949600874
MCI,3709,Rengat-Sumatra Island,Indonesia,Wrigley,Canada,79,136,29,6939,13865,20795,12.0,5375115.398726541
GMP,3147,Cayenne / Rochambeau,French Guiana,Kangerlussuaq,Greenland,258,71,13,6917,13823,20734,12.0,5373487.127987114
MCI,3697,Gunung Sitoli-Nias Island,Indonesia,Choibalsan,Mongolia,182,107,14,6934,13857,20783,12.0,5372976.9689713195
MCI,3690,Pekanbaru-Sumatra Island,Indonesia,Fort Good Hope,Canada,137,118,22,6916,13820,20728,12.0,5371077.608481403
DIA,2318,Apia,Samoa,Haikou,China,115,84,52,6916,13820,20729,12.0,5370791.262419596
DIA,2309,Nuku'alofa,Tonga,Mendi,Papua New Guinea,382,29,0,6892,13774,20661,12.0,5368072.051800869
DLE,1,Honiara,Solomon Islands,Tokoname,Japan,383,0,19,6871,13731,20598,12.0,5351339.567374465
DIA,2366,Waitangi,New Zealand,Geraldton,Australia,210,81,22,6890,13769,20654,12.0,5338402.234936088
MCI,3800,Hamilton,Australia,Banana,Kiribati,246,25,48,6851,13694,20543,12.0,5334518.266028472
GMP,3146,Zandery,Suriname,Deer Lake Newf.,Canada,192,102,14,6885,13759,20640,12.0,5334238.862793352
MCI,905,Mahe Island,Seychelles,Souda,Greece,172,92,28,6846,13683,20527,12.0,5329671.997587109
MCI,3738,Alice Springs,Australia,Yaren District,Nauru,172,81,35,6856,13703,20557,12.0,5324595.09015186
GMP,3064,Quito,Ecuador,Ketchikan,United States,165,55,55,6837,13665,20501,12.0,5322647.916335222
MCI,833,Dzaoudzi,Mayotte,In Salah,Algeria,305,33,23,6835,13661,20494,12.0,5322026.863153568
JNB,2321,Papeete,French Polynesia,Waitangi,New Zealand,440,0,0,6851,13693,20542,12.0,5318860.456408885
MCI,3807,Leigh Creek,Australia,Gaua Island,Vanuatu,159,119,14,6849,13689,20536,12.0,5318804.45806918
GMP,3228,Georgetown,Guyana,Port-Menier,Canada,98,114,38,6823,13639,20462,12.0,5311386.1020212285
MCI,3723,Malacca,Malaysia,Tulita,Canada,221,87,15,6819,13631,20450,12.0,5308863.463130309
JNB,2320,Pago Pago,American Samoa,Alexandra,New Zealand,342,7,28,6815,13623,20438,12.0,5306587.605452028
MCI,3731,Singapore,Singapore,Dalian,China,139,84,44,6832,13656,20488,12.0,5305644.05659037
MCI,3849,Kununurra,Australia,Weno Island,Micronesia,179,93,25,6813,13619,20433,12.0,5303783.014712392
JNB,2318,Apia,Samoa,Manapouri,New Zealand,390,1,16,6811,13614,20426,12.0,5303608.41120896
MCI,3720,Johor Bahru,Malaysia,Arctic Village,United States,119,106,36,6825,13641,20466,12.0,5299609.736647373
JNB,2312,Funafuti,Tuvalu,Merimbula,Australia,260,21,46,6804,13601,20406,12.0,5297451.081106843
MCI,3699,Medan,Indonesia,Chongqing,China,96,109,42,6803,13598,20402,12.0,5295240.790347234
MCI,3568,Malé,Maldives,Ufa,Russia,195,37,57,6798,13589,20389,12.0,5292421.242354688
MCI,3721,Kuala Lumpur,Malaysia,Zhengzhou,China,208,0,77,6805,13603,20410,12.0,5285367.123798693
MCI,3745,Broken Hill,Australia,Funafuti,Tuvalu,219,28,55,6765,13524,20292,12.0,5275049.386675882
MCI,3823,Mildura,Australia,Tanna,Vanuatu,214,69,29,6788,13568,20358,12.0,5271175.71851954
MCI,3815,Melbourne Avalon,Australia,Apia,Samoa,163,57,54,6771,13536,20311,12.0,5266680.409594754
MCI,3712,Banda Aceh,Indonesia,Ulan Bator,Mongolia,204,67,34,6751,13496,20252,12.0,5263641.565888459
MCI,3826,Melbourne intl,Australia,Apia,Samoa,137,114,25,6751,13497,20254,12.0,5263372.351963017
MCI,897,Maputo,Mozambique,Vila do Maio,Cape Verde,301,0,46,6756,13505,20266,12.0,5255467.28783397
MCI,3700,Nanga Pinoh-Borneo Island,Indonesia,Yakushima,Japan,200,103,11,6748,13491,20245,12.0,5248227.243763726
